Category: All categories

Week,Shakespeare festival: (United States)
2012-04-01,32
2012-04-08,33
2012-04-15,42
2012-04-22,47
2012-04-29,47
2012-05-06,50
2012-05-13,52
2012-05-20,60
2012-05-27,71
2012-06-03,85
2012-06-10,83
2012-06-17,91
2012-06-24,93
2012-07-01,84
2012-07-08,92
2012-07-15,97
2012-07-22,94
2012-07-29,82
2012-08-05,74
2012-08-12,60
2012-08-19,53
2012-08-26,49
2012-09-02,42
2012-09-09,41
2012-09-16,34
2012-09-23,34
2012-09-30,36
2012-10-07,31
2012-10-14,27
2012-10-21,26
2012-10-28,21
2012-11-04,22
2012-11-11,25
2012-11-18,23
2012-11-25,23
2012-12-02,27
2012-12-09,26
2012-12-16,23
2012-12-23,16
2012-12-30,26
2013-01-06,25
2013-01-13,26
2013-01-20,31
2013-01-27,30
2013-02-03,32
2013-02-10,32
2013-02-17,29
2013-02-24,31
2013-03-03,37
2013-03-10,34
2013-03-17,36
2013-03-24,31
2013-03-31,31
2013-04-07,31
2013-04-14,32
2013-04-21,44
2013-04-28,41
2013-05-05,38
2013-05-12,44
2013-05-19,53
2013-05-26,55
2013-06-02,65
2013-06-09,79
2013-06-16,79
2013-06-23,86
2013-06-30,88
2013-07-07,84
2013-07-14,100
2013-07-21,89
2013-07-28,86
2013-08-04,73
2013-08-11,61
2013-08-18,46
2013-08-25,41
2013-09-01,35
2013-09-08,30
2013-09-15,37
2013-09-22,29
2013-09-29,25
2013-10-06,24
2013-10-13,23
2013-10-20,20
2013-10-27,19
2013-11-03,24
2013-11-10,22
2013-11-17,21
2013-11-24,17
2013-12-01,20
2013-12-08,19
2013-12-15,20
2013-12-22,17
2013-12-29,18
2014-01-05,23
2014-01-12,26
2014-01-19,26
2014-01-26,26
2014-02-02,25
2014-02-09,31
2014-02-16,25
2014-02-23,29
2014-03-02,27
2014-03-09,30
2014-03-16,31
2014-03-23,35
2014-03-30,27
2014-04-06,31
2014-04-13,35
2014-04-20,36
2014-04-27,34
2014-05-04,31
2014-05-11,40
2014-05-18,44
2014-05-25,50
2014-06-01,60
2014-06-08,69
2014-06-15,63
2014-06-22,76
2014-06-29,67
2014-07-06,80
2014-07-13,74
2014-07-20,84
2014-07-27,77
2014-08-03,72
2014-08-10,61
2014-08-17,45
2014-08-24,43
2014-08-31,35
2014-09-07,29
2014-09-14,29
2014-09-21,28
2014-09-28,26
2014-10-05,25
2014-10-12,21
2014-10-19,20
2014-10-26,15
2014-11-02,20
2014-11-09,17
2014-11-16,22
2014-11-23,15
2014-11-30,22
2014-12-07,17
2014-12-14,21
2014-12-21,18
2014-12-28,20
2015-01-04,24
2015-01-11,24
2015-01-18,26
2015-01-25,25
2015-02-01,24
2015-02-08,20
2015-02-15,26
2015-02-22,28
2015-03-01,27
2015-03-08,26
2015-03-15,31
2015-03-22,28
2015-03-29,30
2015-04-05,29
2015-04-12,29
2015-04-19,37
2015-04-26,31
2015-05-03,30
2015-05-10,37
2015-05-17,39
2015-05-24,52
2015-05-31,49
2015-06-07,64
2015-06-14,64
2015-06-21,67
2015-06-28,67
2015-07-05,71
2015-07-12,85
2015-07-19,87
2015-07-26,76
2015-08-02,61
2015-08-09,55
2015-08-16,52
2015-08-23,41
2015-08-30,40
2015-09-06,37
2015-09-13,27
2015-09-20,29
2015-09-27,28
2015-10-04,28
2015-10-11,22
2015-10-18,23
2015-10-25,17
2015-11-01,22
2015-11-08,16
2015-11-15,20
2015-11-22,16
2015-11-29,18
2015-12-06,18
2015-12-13,16
2015-12-20,19
2015-12-27,13
2016-01-03,24
2016-01-10,21
2016-01-17,21
2016-01-24,24
2016-01-31,20
2016-02-07,22
2016-02-14,21
2016-02-21,23
2016-02-28,25
2016-03-06,27
2016-03-13,25
2016-03-20,31
2016-03-27,32
2016-04-03,29
2016-04-10,35
2016-04-17,38
2016-04-24,33
2016-05-01,28
2016-05-08,34
2016-05-15,36
2016-05-22,39
2016-05-29,47
2016-06-05,54
2016-06-12,62
2016-06-19,64
2016-06-26,71
2016-07-03,71
2016-07-10,71
2016-07-17,74
2016-07-24,69
2016-07-31,59
2016-08-07,49
2016-08-14,38
2016-08-21,39
2016-08-28,33
2016-09-04,37
2016-09-11,28
2016-09-18,28
2016-09-25,27
2016-10-02,27
2016-10-09,21
2016-10-16,20
2016-10-23,15
2016-10-30,15
2016-11-06,15
2016-11-13,19
2016-11-20,16
2016-11-27,16
2016-12-04,17
2016-12-11,21
2016-12-18,17
2016-12-25,15
2017-01-01,19
2017-01-08,21
2017-01-15,22
2017-01-22,21
2017-01-29,21
2017-02-05,24
2017-02-12,20
2017-02-19,25
2017-02-26,26
2017-03-05,23
2017-03-12,24
2017-03-19,26
2017-03-26,25
